0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time,avg_cpu_util,core_load
8,9,15,13,6,20,19,0,1,2,6618.276311,20.6,0.125
17,4,5,12,0,20,0,1,19,18,6618.276311,20.6,0.125
14,3,11,12,0,0,20,19,18,1,6618.276311,20.6,0.125
18,17,5,3,4,0,20,1,19,2,6618.276311,20.6,0.125
4,13,11,9,10,20,0,1,19,18,6618.276311,20.6,0.125
19,13,4,0,17,0,1,2,20,3,6618.276311,20.6,0.125
3,13,12,7,8,20,0,1,2,19,6618.276311,20.6,0.125
3,14,16,2,12,20,0,1,2,19,6618.276311,20.6,0.125
13,18,7,5,14,0,20,19,18,17,6618.276311,20.6,0.125
7,18,4,0,1,0,20,19,18,17,6618.276311,20.6,0.125
4,2,1,8,18,20,19,0,18,17,6618.276311,20.6,0.125
1,16,14,11,7,20,0,1,19,2,6618.276311,20.6,0.125
0,13,14,8,18,20,0,1,2,3,6618.276311,20.6,0.125
6,0,18,4,1,0,20,1,19,18,6618.276311,20.6,0.125
16,13,8,15,6,20,0,1,2,3,6618.276311,20.6,0.125
11,4,16,3,13,0,1,20,2,3,6618.276311,20.6,0.125
16,3,19,2,5,0,1,20,19,2,6618.276311,20.6,0.125
9,1,15,18,7,0,1,20,19,2,6618.276311,20.6,0.125
17,9,18,13,16,20,0,1,2,3,6618.276311,20.6,0.125
5,19,13,15,10,20,19,0,1,2,6618.276311,20.6,0.125
12,7,6,9,17,0,20,19,1,18,6618.276311,20.6,0.125
9,6,15,16,13,20,19,0,18,17,6618.276311,20.6,0.125
16,11,18,9,10,20,19,18,0,1,6618.276311,20.6,0.125
15,17,4,16,6,20,0,19,18,1,6618.276311,20.6,0.125
5,8,6,17,1,0,20,19,1,18,6618.276311,20.6,0.125
11,12,18,6,16,20,0,19,1,18,6618.276311,20.6,0.125
15,19,9,12,11,0,1,20,2,19,6618.276311,20.6,0.125
9,12,0,16,19,20,0,19,1,2,6618.276311,20.6,0.125
17,12,8,19,6,0,20,19,1,18,6618.276311,20.6,0.125
2,9,8,4,6,0,20,19,1,18,6618.276311,20.6,0.125
18,14,9,2,16,20,0,1,19,18,6618.276311,20.6,0.125
16,11,12,5,19,0,1,2,20,3,6618.276311,20.6,0.125
17,18,9,2,0,0,20,19,18,1,6618.276311,20.6,0.125
1,7,9,0,12,0,20,19,1,2,6618.276311,20.6,0.125
4,19,6,15,8,20,0,19,18,17,6618.276311,20.6,0.125
5,19,10,1,0,20,0,1,19,18,6618.276311,20.6,0.125
1,8,10,2,11,0,1,20,19,2,6618.276311,20.6,0.125
9,8,15,19,2,20,19,18,17,0,6618.276311,20.6,0.125
13,16,5,12,8,20,0,19,18,1,6618.276311,20.6,0.125
11,5,4,3,16,20,19,18,0,17,6618.276311,20.6,0.125
14,7,18,5,0,20,19,0,1,2,6618.276311,20.6,0.125
17,1,2,15,9,20,19,0,1,18,6618.276311,20.6,0.125
16,19,10,5,9,0,20,1,2,19,6618.276311,20.6,0.125
7,15,13,3,8,20,0,19,18,17,6618.276311,20.6,0.125
12,3,5,14,6,0,20,1,2,3,6618.276311,20.6,0.125
10,14,13,16,12,20,19,0,1,18,6618.276311,20.6,0.125
15,5,17,2,16,0,20,19,18,1,6618.276311,20.6,0.125
8,1,0,9,13,0,1,2,20,19,6618.276311,20.6,0.125
0,17,2,7,14,0,1,2,20,3,6618.276311,20.6,0.125
3,13,10,1,14,20,0,1,19,2,6618.276311,20.6,0.125
3,9,15,11,19,20,0,1,19,2,6618.276311,20.6,0.125
8,0,17,15,11,20,19,18,17,16,6618.276311,20.6,0.125
9,2,17,3,1,20,0,1,19,2,6618.276311,20.6,0.125
0,7,6,4,10,0,1,20,2,19,6618.276311,20.6,0.125
4,6,9,16,19,0,20,1,2,19,6618.276311,20.6,0.125
12,17,4,14,10,20,0,1,19,18,6618.276311,20.6,0.125
10,14,15,3,19,20,19,18,17,16,6618.276311,20.6,0.125
4,11,18,17,19,20,19,0,1,18,6618.276311,20.6,0.125
2,16,17,19,0,20,19,18,0,17,6618.276311,20.6,0.125
13,0,19,4,1,20,19,0,1,18,6618.276311,20.6,0.125
15,17,13,18,11,20,0,1,19,18,6618.276311,20.6,0.125
1,0,4,2,14,0,1,2,20,3,6618.276311,20.6,0.125
3,2,16,9,11,20,19,18,0,1,6618.276311,20.6,0.125
7,18,13,3,4,0,1,2,3,4,6618.276311,20.6,0.125
14,6,15,5,8,20,0,19,18,17,6618.276311,20.6,0.125
16,14,0,3,8,0,20,19,18,17,6618.276311,20.6,0.125
2,18,14,4,9,20,0,1,19,2,6618.276311,20.6,0.125
4,17,2,9,15,20,0,1,2,3,6618.276311,20.6,0.125
5,14,11,3,4,20,19,18,0,17,6618.276311,20.6,0.125
12,15,10,11,8,20,19,18,0,17,6618.276311,20.6,0.125
9,6,0,18,7,0,20,19,1,18,6618.276311,20.6,0.125
8,12,0,11,18,20,19,18,0,17,6618.276311,20.6,0.125
6,14,16,3,7,20,0,19,18,17,6618.276311,20.6,0.125
19,3,4,15,8,20,0,1,19,2,6618.276311,20.6,0.125
19,1,5,10,8,20,0,1,19,2,6618.276311,20.6,0.125
7,6,11,12,8,20,0,1,2,3,6618.276311,20.6,0.125
2,8,6,4,0,0,1,2,3,4,6618.276311,20.6,0.125
15,11,13,8,17,20,0,1,2,3,6618.276311,20.6,0.125
9,2,18,6,7,20,0,1,2,3,6618.276311,20.6,0.125
2,6,15,8,17,20,0,1,19,2,6618.276311,20.6,0.125
13,11,15,12,9,20,19,0,1,18,6618.276311,20.6,0.125
8,0,14,18,19,20,19,18,0,17,6618.276311,20.6,0.125
6,14,2,18,7,0,20,19,18,1,6618.276311,20.6,0.125
12,0,9,14,16,20,0,1,19,18,6618.276311,20.6,0.125
0,10,18,6,15,20,0,1,19,18,6618.276311,20.6,0.125
8,12,9,11,17,0,1,2,20,19,6618.276311,20.6,0.125
12,3,0,19,17,20,0,1,19,2,6618.276311,20.6,0.125
6,16,11,12,10,20,19,18,17,16,6618.276311,20.6,0.125
18,3,0,6,5,0,1,20,19,18,6618.276311,20.6,0.125
4,12,2,9,5,20,0,1,2,3,6618.276311,20.6,0.125
14,8,7,2,3,0,20,19,1,18,6618.276311,20.6,0.125
16,8,4,6,11,20,19,0,1,18,6618.276311,20.6,0.125
9,0,12,1,11,0,20,1,2,19,6618.276311,20.6,0.125
19,14,5,15,10,20,0,19,18,17,6618.276311,20.6,0.125
0,3,7,5,12,0,20,19,18,1,6618.276311,20.6,0.125
0,5,11,15,13,20,0,1,19,2,6618.276311,20.6,0.125
1,8,11,0,12,20,19,0,18,17,6618.276311,20.6,0.125
14,11,16,10,7,0,20,19,1,18,6618.276311,20.6,0.125
2,11,14,15,17,20,0,1,19,2,6618.276311,20.6,0.125
14,15,18,11,3,20,0,19,18,17,6618.276311,20.6,0.125
8,7,14,11,6,20,0,19,18,17,6618.276311,20.6,0.125
3,0,11,4,13,0,20,19,1,18,6618.276311,20.6,0.125
2,15,3,4,19,20,0,1,19,2,6618.276311,20.6,0.125
1,18,6,9,3,20,0,1,19,18,6618.276311,20.6,0.125
9,0,3,11,8,20,0,1,2,3,6618.276311,20.6,0.125
0,19,11,7,2,20,0,1,19,18,6618.276311,20.6,0.125
10,7,13,15,16,20,19,0,1,18,6618.276311,20.6,0.125
0,6,3,14,18,20,0,1,19,18,6618.276311,20.6,0.125
5,19,3,9,8,20,0,1,19,2,6618.276311,20.6,0.125
4,10,6,11,7,20,19,18,0,17,6618.276311,20.6,0.125
16,8,1,17,2,20,19,0,1,18,6618.276311,20.6,0.125
0,4,3,6,10,0,20,19,1,18,6618.276311,20.6,0.125
8,5,3,6,4,20,19,0,1,18,6618.276311,20.6,0.125
5,12,17,15,19,20,19,18,0,17,6618.276311,20.6,0.125
18,14,16,10,5,20,19,0,18,17,6618.276311,20.6,0.125
18,17,11,10,15,20,0,1,2,3,6618.276311,20.6,0.125
17,7,18,8,6,20,19,18,17,16,6618.276311,20.6,0.125
15,3,2,16,0,20,19,0,1,18,6618.276311,20.6,0.125
16,18,2,15,10,20,19,18,17,16,6618.276311,20.6,0.125
19,8,5,7,10,20,0,1,19,18,6618.276311,20.6,0.125
7,17,5,12,11,0,1,2,3,4,6618.276311,20.6,0.125
19,1,12,2,7,20,19,18,0,17,6618.276311,20.6,0.125
8,0,6,16,4,20,0,1,19,2,6618.276311,20.6,0.125
2,16,11,3,13,20,19,18,0,1,6618.276311,20.6,0.125
15,2,7,4,11,20,19,18,0,17,6618.276311,20.6,0.125
9,10,7,6,4,20,0,1,19,18,6618.276311,20.6,0.125
4,14,0,17,11,20,19,0,18,17,6618.276311,20.6,0.125
2,16,9,15,6,20,0,1,19,2,6618.276311,20.6,0.125
19,13,5,2,16,0,20,1,2,19,6618.276311,20.6,0.125
3,6,8,1,14,20,19,0,1,18,6618.276311,20.6,0.125
17,6,2,3,10,20,0,1,19,18,6618.276311,20.6,0.125
9,8,6,14,3,20,19,18,0,1,6618.276311,20.6,0.125
0,3,11,15,6,20,0,1,2,3,6618.276311,20.6,0.125
2,5,4,12,10,20,19,0,1,18,6618.276311,20.6,0.125
0,19,14,12,11,20,0,19,1,2,6618.276311,20.6,0.125
19,7,14,17,11,20,0,1,2,19,6618.276311,20.6,0.125
6,14,9,3,1,20,19,0,1,2,6618.276311,20.6,0.125
12,1,6,2,3,20,0,19,18,17,6618.276311,20.6,0.125
1,10,14,3,0,20,0,1,19,2,6618.276311,20.6,0.125
15,11,2,16,0,0,20,19,18,17,6618.276311,20.6,0.125
1,14,18,19,6,20,0,1,2,3,6618.276311,20.6,0.125
12,14,16,13,0,20,0,19,18,17,6618.276311,20.6,0.125
9,17,12,0,1,0,20,1,19,2,6618.276311,20.6,0.125
13,3,18,19,16,20,19,0,1,18,6618.276311,20.6,0.125
17,13,1,15,16,20,0,1,19,2,6618.276311,20.6,0.125
9,8,3,19,1,20,0,1,19,18,6618.276311,20.6,0.125
7,13,17,16,5,20,19,0,1,18,6618.276311,20.6,0.125
19,9,13,4,16,20,19,0,1,18,6618.276311,20.6,0.125
7,10,6,19,3,20,19,0,18,17,6618.276311,20.6,0.125
12,18,1,9,7,0,20,1,19,18,6618.276311,20.6,0.125
2,8,5,16,1,20,19,0,18,17,6618.276311,20.6,0.125
10,2,12,9,3,20,19,0,18,17,6618.276311,20.6,0.125
12,14,19,2,6,20,0,19,18,17,6618.276311,20.6,0.125
15,18,16,19,2,20,0,19,18,17,6618.276311,20.6,0.125
7,5,10,14,1,0,1,2,20,3,6618.276311,20.6,0.125
1,14,12,5,3,0,20,19,1,18,6618.276311,20.6,0.125
16,17,8,4,10,20,0,19,18,17,6618.276311,20.6,0.125
13,17,3,6,9,20,0,19,18,17,6618.276311,20.6,0.125
10,16,13,12,18,0,1,20,19,18,6618.276311,20.6,0.125
19,18,5,8,7,0,20,1,19,2,6618.276311,20.6,0.125
4,14,12,15,16,0,1,2,20,19,6618.276311,20.6,0.125
12,9,16,18,4,0,20,1,19,18,6618.276311,20.6,0.125
13,6,0,14,4,0,20,19,1,18,6618.276311,20.6,0.125
9,17,4,11,13,20,0,1,19,2,6618.276311,20.6,0.125
6,19,0,13,9,0,20,19,18,17,6618.276311,20.6,0.125
2,4,16,6,14,20,19,0,1,18,6618.276311,20.6,0.125
16,17,18,4,3,20,0,19,18,17,6618.276311,20.6,0.125
5,0,6,3,19,20,19,18,0,17,6618.276311,20.6,0.125
1,9,15,17,4,20,0,19,18,17,6618.276311,20.6,0.125
6,18,3,9,11,0,20,1,2,19,6618.276311,20.6,0.125
10,17,16,9,15,0,1,20,19,18,6618.276311,20.6,0.125
1,12,14,18,0,20,0,19,18,17,6618.276311,20.6,0.125
11,17,19,18,14,20,19,0,18,17,6618.276311,20.6,0.125
13,16,11,1,17,20,0,19,18,17,6618.276311,20.6,0.125
2,4,10,15,17,20,19,18,0,17,6618.276311,20.6,0.125
18,8,12,13,10,20,0,1,19,18,6618.276311,20.6,0.125
9,19,18,16,6,20,19,18,17,16,6618.276311,20.6,0.125
8,0,14,19,5,20,0,1,2,3,6618.276311,20.6,0.125
0,6,17,5,8,20,0,19,18,17,6618.276311,20.6,0.125
18,3,16,6,13,20,19,18,17,16,6618.276311,20.6,0.125
12,1,13,10,18,20,19,0,1,18,6618.276311,20.6,0.125
15,1,0,9,12,20,19,18,0,17,6618.276311,20.6,0.125
17,9,10,2,11,20,19,0,1,18,6618.276311,20.6,0.125
8,0,2,16,11,20,0,19,18,17,6618.276311,20.6,0.125
4,16,12,13,8,20,0,1,19,2,6618.276311,20.6,0.125
1,5,6,2,16,0,20,19,18,1,6618.276311,20.6,0.125
12,13,5,19,8,20,0,19,1,18,6618.276311,20.6,0.125
7,12,0,8,1,20,0,19,1,2,6618.276311,20.6,0.125
12,18,10,16,8,20,19,18,0,17,6618.276311,20.6,0.125
18,13,15,8,12,20,0,19,18,17,6618.276311,20.6,0.125
4,12,13,10,1,20,19,18,0,17,6618.276311,20.6,0.125
10,1,14,8,3,0,20,19,1,18,6618.276311,20.6,0.125
10,12,19,4,1,20,19,0,1,18,6618.276311,20.6,0.125
10,3,17,15,16,20,0,19,1,18,6618.276311,20.6,0.125
8,13,16,14,5,20,19,18,0,17,6618.276311,20.6,0.125
15,2,8,0,12,0,20,19,1,2,6618.276311,20.6,0.125
11,0,4,3,13,20,19,18,0,17,6618.276311,20.6,0.125
3,18,15,16,2,0,20,19,18,17,6618.276311,20.6,0.125
9,0,7,2,13,20,19,18,17,16,6618.276311,20.6,0.125
13,16,7,15,14,20,19,18,0,17,6618.276311,20.6,0.125
3,17,14,9,16,0,20,19,1,18,6618.276311,20.6,0.125
9,11,4,19,16,20,0,1,2,3,6618.276311,20.6,0.125
8,17,9,15,5,20,0,19,18,17,6618.276311,20.6,0.125
11,4,7,14,10,20,19,18,0,17,6618.276311,20.6,0.125
2,4,1,3,16,20,0,19,1,18,6618.276311,20.6,0.125
11,12,5,17,0,0,1,20,19,2,6618.276311,20.6,0.125
0,18,12,7,11,20,0,19,18,17,6618.276311,20.6,0.125
4,14,3,10,7,20,19,0,1,18,6618.276311,20.6,0.125
17,16,2,13,18,0,20,1,19,18,6618.276311,20.6,0.125
14,3,9,16,10,0,20,19,1,18,6618.276311,20.6,0.125
18,10,15,14,4,20,0,1,19,2,6618.276311,20.6,0.125
13,0,2,1,18,20,0,1,19,2,6618.276311,20.6,0.125
9,5,3,18,19,20,19,18,0,17,6618.276311,20.6,0.125
17,3,15,4,16,20,0,19,1,2,6618.276311,20.6,0.125
18,7,3,13,17,20,0,19,18,17,6618.276311,20.6,0.125
13,4,14,5,2,20,0,1,19,18,6618.276311,20.6,0.125
9,17,0,16,15,20,19,18,0,17,6618.276311,20.6,0.125
13,11,4,8,19,0,20,1,2,3,6618.276311,20.6,0.125
16,10,12,19,8,0,1,20,2,19,6618.276311,20.6,0.125
7,13,10,1,0,0,1,20,19,2,6618.276311,20.6,0.125
6,18,16,17,1,0,20,1,2,19,6618.276311,20.6,0.125
16,2,5,9,19,20,0,1,19,18,6618.276311,20.6,0.125
2,15,11,9,1,0,20,1,19,18,6618.276311,20.6,0.125
6,8,2,14,0,0,20,19,1,18,6618.276311,20.6,0.125
1,12,19,7,15,20,0,1,19,2,6618.276311,20.6,0.125
